step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,225,1,0.01950670971739234,1.0,1.0,0.027909246010759583,0.0,0.0,,
2,570,2,0.024056670353404454,1.0,1.0,,,,,
3,731,3,0.02660086180149901,1.0,1.0,,,,,
4,956,4,0.02958575999302787,1.0,1.0,,,,,
5,1101,5,0.018682038413677764,1.0,1.0,,,,,
6,1390,6,0.032857362906982,0.0,0.0,,,,,
7,1567,7,0.022753478276096695,1.0,1.0,,,,,
8,1736,8,0.04583987410814296,0.0,0.0,,,,,
9,2201,9,0.02288085609345577,0.0,0.0,0.03288602916635996,1.0,1.0,,
10,2354,10,0.02688571008976363,0.0,0.0,,,,,
11,2691,11,0.033342310518908215,1.0,1.0,,,,,
12,3060,12,0.01703061608773737,1.0,1.0,,,,,
13,3493,13,0.024974727465070103,0.0,0.0,,,,,
14,3902,14,0.024743874551028906,0.0,0.0,,,,,
15,4431,15,0.03146517181745497,0.0,0.0,,,,,
16,4816,16,0.02451322752062115,0.0,0.0,,,,,
17,5537,17,0.025957697721272353,0.0,0.0,0.024826196659064027,1.0,1.0,,
18,5738,18,0.028573790312188204,0.0,0.0,,,,,
19,5947,19,0.024023607088435643,1.0,1.0,,,,,
20,6436,20,0.030678039846468625,0.0,0.0,,,,,
21,6733,21,0.01758428440199159,0.0,0.0,,,,,
22,7102,22,0.022240560853633157,0.0,0.0,,,,,
23,8079,23,0.021395487814953557,0.0,0.0,,,,,
24,8688,24,0.026372465924180678,0.0,0.0,,,,,
25,8977,25,0.027265419924152382,0.0,0.0,0.023171794819116315,1.0,1.0,,
26,9266,26,0.027172637794932526,0.0,0.0,,,,,
27,9923,27,0.02455984390487887,0.0,0.0,,,,,
28,10412,28,0.02320127175025805,0.0,0.0,,,,,
29,10533,29,0.025380435877356528,1.0,1.0,,,,,
30,10798,30,0.0178202391912937,1.0,1.0,,,,,
31,10975,31,0.02569548245336188,0.0,0.0,,,,,
32,11232,32,0.027786511814162935,0.0,0.0,,,,,
33,11521,33,0.024876600616302848,1.0,1.0,0.022555485897642627,1.0,1.0,,
34,12154,34,0.02923737682960899,0.0,0.0,,,,,
35,12835,35,0.019264906658777385,0.0,0.0,,,,,
36,13412,36,0.02127912235413537,0.0,0.0,,,,,
37,13565,37,0.045476386090637644,0.0,0.0,,,,,
38,13790,38,0.02371398956051341,0.0,0.0,,,,,
39,14287,39,0.01903597878773746,1.0,1.0,,,,,
40,14504,40,0.03382846915767779,0.0,0.0,,,,,
41,14897,41,0.021922248890893052,0.0,0.0,0.021162377134861632,0.0,0.0,,
42,15186,42,0.02339604259302786,1.0,1.0,,,,,
43,15763,43,0.01675312863332445,1.0,1.0,,,,,
44,16340,44,0.017554863138536606,1.0,1.0,,,,,
45,17029,45,0.022822940666438748,1.0,1.0,,,,,
46,17478,46,0.01662741802537046,1.0,1.0,,,,,
47,18127,47,0.019758712410172626,0.0,0.0,,,,,
48,18440,48,0.028039525274788132,0.0,0.0,,,,,
49,18777,49,0.028064939007764828,0.0,0.0,0.01775614753653474,1.0,1.0,,
50,19218,50,0.02258566630970591,1.0,1.0,,,,,
51,19395,51,0.023478274629112204,0.0,0.0,,,,,
52,19732,52,0.02406724356792686,0.0,0.0,,,,,
53,20181,53,0.018705096007121783,0.0,0.0,,,,,
54,20454,54,0.0315981427869047,0.0,0.0,,,,,
55,20839,55,0.02488100659970513,0.0,0.0,,,,,
56,21448,56,0.02104543869929384,0.0,0.0,,,,,
57,21777,57,0.017878362176978725,1.0,1.0,0.023899898570871915,0.0,0.0,,
58,22218,58,0.017902327838172596,0.0,0.0,,,,,
59,22747,59,0.02015181472137785,1.0,1.0,,,,,
60,23244,60,0.03417726406745472,0.0,0.0,,,,,
61,23541,61,0.025721858184653865,1.0,1.0,,,,,
62,23742,62,0.029211961476229047,1.0,1.0,,,,,
63,24135,63,0.024967587702254546,0.0,0.0,,,,,
64,24528,64,0.01298336084576335,1.0,1.0,,,,,
65,25433,65,0.019496924361524108,0.0,0.0,0.03143049445371914,0.0,0.0,,
66,25842,66,0.017348264122039752,0.0,0.0,,,,,
67,26323,67,0.02345309493488155,0.0,0.0,,,,,
68,26572,68,0.028982780532457963,0.0,0.0,,,,,
69,26885,69,0.01889107660191563,1.0,1.0,,,,,
70,27046,70,0.03279575683411201,0.0,0.0,,,,,
71,27399,71,0.024901287545679617,1.0,1.0,,,,,
72,27704,72,0.028411869675553404,0.0,0.0,,,,,
73,28097,73,0.023148941581815817,0.0,0.0,0.027563077089115165,0.0,0.0,,
