step ,elapsed_tokens ,elapsed_examples ,training_loss         ,training_sequence_accuracy ,training_token_accuracy ,validation_loss       ,validation_sequence_accuracy ,validation_token_accuracy ,classification/accuracy ,classification/weighted_f1_score
  50 ,        121424 ,             400 ,0.013018046299616184  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  51 ,        124248 ,             408 ,0.011944185377347068  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  52 ,        127008 ,             416 ,0.014591299084945419  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  53 ,        130024 ,             424 ,0.014130561016330917  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  54 ,        132208 ,             432 ,0.01632016307618408   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  55 ,        134392 ,             440 ,0.02083468241846162   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  56 ,        138048 ,             448 ,0.011878977581371452  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  57 ,        139592 ,             456 ,0.019507075219936446  ,                     1.0   ,                  1.0   ,0.0157324215540415    ,                       1.0   ,                    1.0   ,                        ,
  58 ,        141328 ,             464 ,0.01735536019343659   ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
  59 ,        143576 ,             472 ,0.016388900698729877  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
  60 ,        146720 ,             480 ,0.012571670520201108  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  61 ,        148392 ,             488 ,0.021824510682510068  ,                     0.625 ,                  0.625 ,                      ,                             ,                          ,                        ,
  62 ,        152560 ,             496 ,0.014072888740634877  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  63 ,        154872 ,             504 ,0.022642747345325377  ,                     0.75  ,                  0.75  ,                      ,                             ,                          ,                        ,
  64 ,        156352 ,             512 ,0.0141915640864972    ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  65 ,        159432 ,             520 ,0.017244672899967572  ,                     0.875 ,                  0.875 ,0.014767651238152659  ,                       0.75  ,                    0.75  ,                        ,
  66 ,        161872 ,             528 ,0.015109000279647285  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  67 ,        165016 ,             536 ,0.012022842013401322  ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  68 ,        167072 ,             544 ,0.01979310263372632   ,                     0.875 ,                  0.875 ,                      ,                             ,                          ,                        ,
  69 ,        169960 ,             552 ,0.012041146048373573  ,                     1.0   ,                  1.0   ,                      ,                             ,                          ,                        ,
