step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
101,180692,404,0.012114319730400116,1.0,1.0,,,,,
102,182040,408,0.01427968438653273,0.75,0.75,,,,,
103,184028,412,0.016811568606966712,0.25,0.25,,,,,
104,185984,416,0.007545560500655009,1.0,1.0,,,,,
105,187076,420,0.010137844568136094,1.0,1.0,0.01686931745505616,0.75,0.75,,
106,189224,424,0.01263097347439888,0.5,0.5,,,,,
107,191116,428,0.011915956224794631,0.75,0.75,,,,,
108,192912,432,0.010670270749290844,0.75,0.75,,,,,
109,194484,436,0.015673702639943717,1.0,1.0,,,,,
110,195928,440,0.014298498214871771,0.25,0.25,,,,,
111,197724,444,0.011481060051565715,0.75,0.75,,,,,
112,198816,448,0.012456622837942563,1.0,1.0,,,,,
113,200484,452,0.010643561310313228,0.75,0.75,0.016917919802279666,0.75,0.75,,
114,202568,456,0.01884005419968172,0.25,0.25,,,,,
115,204300,460,0.012633118626764629,0.75,0.75,,,,,
116,206288,464,0.014562985606295152,1.0,1.0,,,,,
117,207956,468,0.015697044231372453,0.5,0.5,,,,,
118,209592,472,0.014315649379144433,0.5,0.5,,,,,
119,211548,476,0.007340940034366875,1.0,1.0,,,,,
120,213120,480,0.012386515122227106,0.75,0.75,,,,,
121,214436,484,0.010906868057676319,1.0,1.0,0.013743241112262997,0.75,0.75,,
122,216264,488,0.01323199094071663,0.5,0.5,,,,,
123,217836,492,0.009065843976325674,0.75,0.75,,,,,
124,218928,496,0.014826860170591039,0.75,0.75,,,,,
125,220148,500,0.011671520148047579,0.75,0.75,,,,,
126,222168,504,0.01056195130685364,1.0,1.0,,,,,
127,223804,508,0.022757107913665753,0.25,0.25,,,,,
128,225792,512,0.013992007967367649,0.5,0.5,,,,,
129,227684,516,0.016258218742273053,0.5,0.5,0.005268429715329194,1.0,1.0,,
130,230216,520,0.01309649829549247,0.75,0.75,,,,,
131,231596,524,0.015415127565386846,0.25,0.25,,,,,
132,233808,528,0.00822612378022727,0.5,0.5,,,,,
133,235444,532,0.017155450545348908,1.0,1.0,,,,,
134,237432,536,0.014126917554763037,0.75,0.75,,,,,
135,239036,540,0.009953059864332023,1.0,1.0,,,,,
136,240480,544,0.008164151156562235,1.0,1.0,,,,,
137,242020,548,0.007465670953502736,1.0,1.0,0.00863898688677521,0.75,0.75,,
138,243816,552,0.015354583147825673,0.75,0.75,,,,,
139,246060,556,0.010365058145836888,0.75,0.75,,,,,
140,247920,560,0.012405891270347661,0.75,0.75,,,,,
141,248884,564,0.012075755443275795,0.75,0.75,,,,,
142,250488,568,0.012029338048916314,0.75,0.75,,,,,
143,251868,572,0.018151262147389928,0.5,0.5,,,,,
144,253760,576,0.014260459007396208,0.25,0.25,,,,,
145,256740,580,0.01871939025481004,0.75,0.75,0.012981818111047167,0.5,0.5,,
146,258184,584,0.010575573443262383,0.75,0.75,,,,,
147,259564,588,0.0064942274456663215,1.0,1.0,,,,,
148,261136,592,0.011010317633583318,1.0,1.0,,,,,
149,263220,596,0.007572514580141589,1.0,1.0,,,,,
150,264568,600,0.016349186284975142,0.5,0.5,,,,,
151,266300,604,0.008109488882400616,1.0,1.0,,,,,
152,268352,608,0.011583924341347931,1.0,1.0,,,,,
153,270052,612,0.010240068612131354,0.75,0.75,0.010204422496301163,1.0,1.0,,
154,271304,616,0.014954169572883832,0.75,0.75,,,,,
155,273100,620,0.007791697414683106,1.0,1.0,,,,,
156,274800,624,0.015401126226600961,0.75,0.75,,,,,
157,276660,628,0.01771008156084686,0.75,0.75,,,,,
158,278392,632,0.011205683767982151,0.75,0.75,,,,,
159,280220,636,0.011335196784663193,0.75,0.75,,,,,
160,282400,640,0.015569770318029377,0.75,0.75,,,,,
161,284420,644,0.010768200062921075,0.75,0.75,0.01463781385331348,0.5,0.5,,
162,285608,648,0.012344418724852207,1.0,1.0,,,,,
163,286988,652,0.014797881254227867,0.75,0.75,,,,,
164,288432,656,0.01017068498931209,0.75,0.75,,,,,
165,290836,660,0.012921321352570672,0.5,0.5,,,,,
166,292696,664,0.009271343921579326,1.0,1.0,,,,,
167,293916,668,0.015536701926312206,0.5,0.5,,,,,
168,296192,672,0.010377540828157547,0.25,0.25,,,,,
169,298788,676,0.015559744889937646,1.0,1.0,0.010172920513893697,0.5,0.5,,
170,300360,680,0.009541063282076778,0.75,0.75,,,,,
171,302124,684,0.012048900050260086,1.0,1.0,,,,,
172,303280,688,0.010858320524874503,1.0,1.0,,,,,
173,304564,692,0.010452580364996833,0.5,0.5,,,,,
174,307096,696,0.012579653978953609,0.75,0.75,,,,,
175,308508,700,0.008831215691558883,1.0,1.0,,,,,
176,309888,704,0.015718382924049545,0.5,0.5,,,,,
177,311236,708,0.009330349310717615,0.75,0.75,0.0093638896679709,0.75,0.75,,
178,312744,712,0.018874710372921034,0.5,0.5,,,,,
179,314124,716,0.0128425896331987,0.75,0.75,,,,,
180,315312,720,0.010491172718001035,1.0,1.0,,,,,
181,317044,724,0.012600527492664349,0.5,0.5,,,,,
182,318712,728,0.015056826357177635,0.75,0.75,,,,,
183,321308,732,0.013750123015239932,1.0,1.0,,,,,
184,323808,736,0.012545876757125268,0.5,0.5,,,,,
185,325060,740,0.010870923841601762,0.75,0.75,0.011431350248278375,0.75,0.75,,
186,327208,744,0.008742515625103807,1.0,1.0,,,,,
187,329900,748,0.009291674186850443,0.75,0.75,,,,,
188,331440,752,0.015590540661073779,0.5,0.5,,,,,
189,334068,756,0.012980342722773578,0.5,0.5,,,,,
190,335864,760,0.01407482616785448,0.5,0.5,,,,,
191,337436,764,0.009153900304149615,1.0,1.0,,,,,
192,339552,768,0.016715526643920352,0.25,0.25,,,,,
193,342372,772,0.01013115968835372,0.25,0.25,0.014291761762116313,0.75,0.75,,
194,343688,776,0.008362359369218583,1.0,1.0,,,,,
195,345132,780,0.009467812564721326,1.0,1.0,,,,,
196,346960,784,0.00760740821666005,0.75,0.75,,,,,
197,349044,788,0.013047087255974893,0.75,0.75,,,,,
198,350808,792,0.01584430637591808,0.25,0.25,,,,,
199,352700,796,0.007835259780995706,1.0,1.0,,,,,
200,354976,800,0.010611992407598077,0.75,0.75,,,,,
201,358436,804,0.009213812119424172,0.75,0.75,0.006277815084531238,0.75,0.75,,
202,359848,808,0.011561236323876066,1.0,1.0,,,,,
203,361100,812,0.011370254972834185,0.75,0.75,,,,,
204,362288,816,0.012988201193413472,0.75,0.75,,,,,
205,364372,820,0.010856117392490976,1.0,1.0,,,,,
206,366360,824,0.0065836124008791345,0.75,0.75,,,,,
207,367580,828,0.006432193765122917,1.0,1.0,,,,,
208,369344,832,0.017453607295140266,0.25,0.25,,,,,
209,371268,836,0.015785518420983077,0.25,0.25,0.013207831006203197,0.75,0.75,,
210,372616,840,0.011775063414577994,0.75,0.75,,,,,
211,374156,844,0.008626851098505623,1.0,1.0,,,,,
212,375536,848,0.010232203865148077,0.75,0.75,,,,,
213,377684,852,0.012375034485969981,0.5,0.5,,,,,
214,378936,856,0.011300109862569525,0.75,0.75,,,,,
215,381372,860,0.010246563201995698,1.0,1.0,,,,,
216,383456,864,0.012025311286863342,0.5,0.5,,,,,
217,384900,868,0.01140352353357898,0.75,0.75,0.0133434114639482,0.5,0.5,,
218,386760,872,0.010535950830627397,1.0,1.0,,,,,
219,388940,876,0.01209445811914817,0.5,0.5,,,,,
220,390864,880,0.0127481312421309,0.5,0.5,,,,,
221,392692,884,0.014082459836326148,0.5,0.5,,,,,
222,393944,888,0.014060093721199037,0.5,0.5,,,,,
223,395100,892,0.011144913346128172,1.0,1.0,,,,,
224,396896,896,0.010505613302688977,0.75,0.75,,,,,
225,398340,900,0.007164671298194473,1.0,1.0,0.01160931470241073,0.75,0.75,,
226,400936,904,0.01100069202920828,0.5,0.5,,,,,
227,402348,908,0.015772741933300163,1.0,1.0,,,,,
228,404880,912,0.006967715748534933,1.0,1.0,,,,,
229,406388,916,0.009587493785330742,0.75,0.75,,,,,
230,408760,920,0.010547438881393595,1.0,1.0,,,,,
231,411196,924,0.011556317059388225,0.5,0.5,,,,,
232,412576,928,0.01159080906070297,0.75,0.75,,,,,
233,414564,932,0.015076961261275022,0.75,0.75,0.0076782881595203216,0.75,0.75,,
234,415400,936,0.018423830567237384,0.5,0.5,,,,,
235,416844,940,0.015185071483918329,0.5,0.5,,,,,
236,419088,944,0.008688355392335806,0.5,0.5,,,,,
237,420916,948,0.005507821835377554,0.75,0.75,,,,,
238,422008,952,0.009627250987838187,1.0,1.0,,,,,
239,423964,956,0.00767987261078765,0.75,0.75,,,,,
240,426048,960,0.01141629438230601,0.75,0.75,,,,,
241,427556,964,0.012502121887019215,0.75,0.75,0.007307984027619817,1.0,1.0,,
242,428680,968,0.009525399640862247,0.75,0.75,,,,,
243,429964,972,0.010756461023254758,0.75,0.75,,,,,
244,431376,976,0.013928701749232856,0.75,0.75,,,,,
245,432724,980,0.013104587125062813,0.75,0.75,,,,,
246,434520,984,0.013649991177742514,1.0,1.0,,,,,
247,436540,988,0.010476508154573036,0.5,0.5,,,,,
248,438176,992,0.010332557096872636,1.0,1.0,,,,,
249,439460,996,0.011147369891977127,0.75,0.75,0.013101638778699172,1.0,1.0,,
250,440808,1000,0.012132455461103156,0.75,0.75,,,,,
251,442572,1004,0.009920224229606074,1.0,1.0,,,,,
252,445136,1008,0.011517814639372445,0.75,0.75,,,,,
253,446964,1012,0.009118123458750292,1.0,1.0,,,,,
254,448184,1016,0.015686977384205446,0.75,0.75,,,,,
255,450204,1020,0.013682460221609355,0.75,0.75,,,,,
256,452288,1024,0.011526905365243839,0.75,0.75,,,,,
257,453764,1028,0.013776550329448013,0.5,0.5,0.007802756881964856,1.0,1.0,,
258,454824,1032,0.011804857970363092,1.0,1.0,,,,,
259,456748,1036,0.008939672047548981,0.75,0.75,,,,,
260,458128,1040,0.013283903742171244,0.75,0.75,,,,,
261,459924,1044,0.0157726871130368,0.25,0.25,,,,,
262,461880,1048,0.01743501188226968,0.5,0.5,,,,,
263,463868,1052,0.009062740733412402,0.75,0.75,,,,,
264,465600,1056,0.012600975267412485,0.75,0.75,,,,,
265,467140,1060,0.012500194703636123,0.5,0.5,0.009267101778636041,0.5,0.5,,
266,468328,1064,0.012991181239600118,0.5,0.5,,,,,
267,470284,1068,0.010279139770352665,1.0,1.0,,,,,
268,471728,1072,0.012035840054047658,0.75,0.75,,,,,
269,472980,1076,0.011417178004762718,0.75,0.75,,,,,
270,474584,1080,0.009307838332833883,0.75,0.75,,,,,
271,475708,1084,0.011387849239570674,0.5,0.5,,,,,
272,477024,1088,0.01023769668739415,0.75,0.75,,,,,
273,478308,1092,0.009890065023167697,0.75,0.75,0.015193440724816243,0.75,0.75,,
274,480360,1096,0.012460405995879937,0.75,0.75,,,,,
275,482380,1100,0.010575609357846598,0.75,0.75,,,,,
276,484176,1104,0.007357656816177338,1.0,1.0,,,,,
277,485460,1108,0.010950286446578347,0.5,0.5,,,,,
278,486968,1112,0.00918077475025758,0.75,0.75,,,,,
279,488348,1116,0.012426247616944192,0.75,0.75,,,,,
280,489376,1120,0.011140762078864351,0.75,0.75,,,,,
281,490884,1124,0.014265217773859518,0.5,0.5,0.012542050246550892,0.75,0.75,,
282,493896,1128,0.013136495851167624,1.0,1.0,,,,,
283,495500,1132,0.011214304755216018,1.0,1.0,,,,,
284,497456,1136,0.01466106960597402,0.75,0.75,,,,,
285,499060,1140,0.013447193412432563,0.5,0.5,,,,,
286,500760,1144,0.011753235273046243,1.0,1.0,,,,,
287,502300,1148,0.011289957284817674,0.75,0.75,,,,,
288,504128,1152,0.007745971659859703,1.0,1.0,,,,,
289,506788,1156,0.008734600009881527,0.5,0.5,0.01097898252850201,1.0,1.0,,
290,509960,1160,0.009347998817006981,0.75,0.75,,,,,
291,511884,1164,0.009581615856870705,1.0,1.0,,,,,
292,513968,1168,0.014575501091305143,0.75,0.75,,,,,
293,515540,1172,0.014591023515945063,0.75,0.75,,,,,
294,517656,1176,0.010156117117947524,0.75,0.75,,,,,
295,519484,1180,0.010060223720254943,0.75,0.75,,,,,
296,521024,1184,0.012943541792549489,1.0,1.0,,,,,
297,523364,1188,0.00974548937802066,0.75,0.75,0.0074218226614662245,1.0,1.0,,
298,524904,1192,0.012921440594366262,1.0,1.0,,,,,
299,526028,1196,0.01021181335870074,0.75,0.75,,,,,
300,527856,1200,0.01836553866007186,0.75,0.75,,,,,
301,529268,1204,0.0158556076534738,0.75,0.75,,,,,
302,531352,1208,0.01555389778556683,0.5,0.5,,,,,
303,532380,1212,0.00921312040602745,0.75,0.75,,,,,
304,534720,1216,0.007418043148815757,1.0,1.0,,,,,
305,536452,1220,0.016293306253510772,0.25,0.25,0.012248673385786618,0.75,0.75,,
306,538856,1224,0.007424882972602513,0.75,0.75,,,,,
307,540844,1228,0.01063364245696325,0.75,0.75,,,,,
308,542640,1232,0.009444055975152963,0.75,0.75,,,,,
309,544724,1236,0.009445440214407786,0.75,0.75,,,,,
310,546840,1240,0.01074419896480267,0.75,0.75,,,,,
311,548508,1244,0.007216525222864077,0.75,0.75,,,,,
312,550464,1248,0.013862006502115548,0.75,0.75,,,,,
313,552100,1252,0.01319697249502045,0.75,0.75,0.015659557156299228,0.5,0.5,,
314,553928,1256,0.013193093771220016,0.5,0.5,,,,,
315,555692,1260,0.01102729800935644,0.75,0.75,,,,,
316,557264,1264,0.01303611708004299,0.5,0.5,,,,,
317,559316,1268,0.0075221810251338275,0.75,0.75,,,,,
318,560792,1272,0.01630145852121591,1.0,1.0,,,,,
319,562460,1276,0.0116450718589949,1.0,1.0,,,,,
320,563840,1280,0.010336387836219216,0.5,0.5,,,,,
321,565380,1284,0.013079023280816388,1.0,1.0,0.013630964025988282,0.75,0.75,,
322,566952,1288,0.01687350419067317,0.5,0.5,,,,,
323,569164,1292,0.01131829038541629,1.0,1.0,,,,,
324,571344,1296,0.007331937343424224,1.0,1.0,,,,,
325,572820,1300,0.014788353785939894,1.0,1.0,,,,,
326,574680,1304,0.012695103101071685,0.5,0.5,,,,,
327,576444,1308,0.015442493890786647,0.75,0.75,,,,,
328,579232,1312,0.006424784070769491,0.5,0.5,,,,,
329,581316,1316,0.008943105133039404,0.75,0.75,0.0038466277486980498,1.0,1.0,,
330,583176,1320,0.01039486027147266,0.75,0.75,,,,,
331,584268,1324,0.012342039415654607,0.75,0.75,,,,,
332,585840,1328,0.0063549062318996995,1.0,1.0,,,,,
333,587412,1332,0.013417999860203927,0.5,0.5,,,,,
334,588632,1336,0.007542337648432927,1.0,1.0,,,,,
335,590556,1340,0.007204918655962507,1.0,1.0,,,,,
336,592384,1344,0.010346576978071353,0.5,0.5,,,,,
337,594532,1348,0.014643533942922582,1.0,1.0,0.010180266947330664,0.75,0.75,,
338,596232,1352,0.008978605827501011,0.75,0.75,,,,,
339,598604,1356,0.011255776431757961,0.75,0.75,,,,,
340,600112,1360,0.007596847687954894,0.75,0.75,,,,,
341,601204,1364,0.006957414285911315,1.0,1.0,,,,,
342,603704,1368,0.008536668277691981,1.0,1.0,,,,,
343,606044,1372,0.008020289840829899,1.0,1.0,,,,,
344,607616,1376,0.013473015732393352,0.75,0.75,,,,,
345,609444,1380,0.014579732006486669,0.25,0.25,0.00917868883364983,1.0,1.0,,
346,611464,1384,0.010967185710292784,1.0,1.0,,,,,
347,613452,1388,0.0053155004206297506,1.0,1.0,,,,,
348,614896,1392,0.010276397158613058,1.0,1.0,,,,,
349,617172,1396,0.0085420733275717,1.0,1.0,,,,,
350,619000,1400,0.005612947401482954,1.0,1.0,,,,,
351,620764,1404,0.008472643467931262,0.75,0.75,,,,,
352,622272,1408,0.011960851288973487,0.75,0.75,,,,,
353,623748,1412,0.008115853942212372,1.0,1.0,0.011843912895068122,0.5,0.5,,
354,625160,1416,0.006480798939223614,1.0,1.0,,,,,
355,626508,1420,0.014850500090758011,0.5,0.5,,,,,
356,628624,1424,0.00897901189775128,0.75,0.75,,,,,
357,630036,1428,0.014193784161568034,0.25,0.25,,,,,
358,631384,1432,0.009966270964145521,0.75,0.75,,,,,
359,633436,1436,0.01066036834660494,0.5,0.5,,,,,
360,635456,1440,0.011703244005989077,0.75,0.75,,,,,
361,636868,1444,0.008621806004565517,0.5,0.5,0.01280127626920725,0.5,0.5,,
362,639048,1448,0.011986598797417954,0.75,0.75,,,,,
363,640460,1452,0.00869209221731349,1.0,1.0,,,,,
364,642352,1456,0.00879230675351478,0.75,0.75,,,,,
365,644564,1460,0.006376969257865167,1.0,1.0,,,,,
366,646648,1464,0.01416309923175228,0.75,0.75,,,,,
367,648316,1468,0.011264031540246145,0.75,0.75,,,,,
368,649760,1472,0.013999584045473239,0.5,0.5,,,,,
369,651396,1476,0.011402000724224294,0.75,0.75,0.010132571011468455,1.0,1.0,,
370,652808,1480,0.011916735959921126,1.0,1.0,,,,,
371,654572,1484,0.006569950970995055,1.0,1.0,,,,,
372,656144,1488,0.013142016656935752,0.75,0.75,,,,,
373,657684,1492,0.01153421190655757,0.5,0.5,,,,,
374,659352,1496,0.007005360888261659,1.0,1.0,,,,,
375,661372,1500,0.006800308940028438,1.0,1.0,,,,,
376,663616,1504,0.011033371868299858,0.5,0.5,,,,,
377,664804,1508,0.009102425397011026,1.0,1.0,0.012642453684983318,0.25,0.25,,
378,666568,1512,0.011812111089172317,0.5,0.5,,,,,
379,667788,1516,0.011704183911240113,0.5,0.5,,,,,
380,669392,1520,0.005022562428508821,1.0,1.0,,,,,
381,671188,1524,0.008978240885721777,1.0,1.0,,,,,
382,673176,1528,0.005716085158104269,1.0,1.0,,,,,
383,674300,1532,0.005799479813077499,1.0,1.0,,,,,
384,676192,1536,0.014990183277063517,0.25,0.25,,,,,
385,677796,1540,0.014946384198873135,0.25,0.25,0.013617730890802713,1.0,1.0,,
386,679080,1544,0.008827090918008176,1.0,1.0,,,,,
387,680236,1548,0.020163461907852745,0.25,0.25,,,,,
388,682736,1552,0.011132959275341593,1.0,1.0,,,,,
389,684404,1556,0.016162942395120405,0.5,0.5,,,,,
390,685912,1560,0.014088048552603632,1.0,1.0,,,,,
391,688092,1564,0.0065457206078613946,1.0,1.0,,,,,
392,690176,1568,0.008860998538640178,0.75,0.75,,,,,
393,691236,1572,0.0073072499387795324,0.75,0.75,0.006457308162725721,1.0,1.0,,
394,692392,1576,0.009024578187026514,0.75,0.75,,,,,
395,694348,1580,0.009319424109865526,0.5,0.5,,,,,
396,695856,1584,0.008237233604078908,1.0,1.0,,,,,
397,696948,1588,0.009229737238992824,0.75,0.75,,,,,
398,698360,1592,0.009307259505881689,0.75,0.75,,,,,
399,700092,1596,0.01756437141415886,0.75,0.75,,,,,
400,702016,1600,0.005453020658571073,1.0,1.0,,,,,
401,703812,1604,0.008202969873197406,1.0,1.0,0.012190021002512878,1.0,1.0,,
402,705768,1608,0.008247531943770073,1.0,1.0,,,,,
403,707660,1612,0.011005528108093765,0.75,0.75,,,,,
404,709328,1616,0.012600583303174068,0.75,0.75,,,,,
405,711540,1620,0.014059442500547957,0.5,0.5,,,,,
406,713368,1624,0.009891582496024745,0.75,0.75,,,,,
407,714940,1628,0.012420483014876048,0.75,0.75,,,,,
408,716192,1632,0.012754719367180317,1.0,1.0,,,,,
409,718180,1636,0.011292233694432604,0.75,0.75,0.013249722208694303,0.5,0.5,,
410,719752,1640,0.019620728769823983,0.25,0.25,,,,,
411,721548,1644,0.009602844853784764,1.0,1.0,,,,,
