step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
101,400488,808,0.009057047863323259,1.0,1.0,,,,,
102,404528,816,0.009008630088996104,0.75,0.75,,,,,
103,409208,824,0.01243260430627275,0.625,0.625,,,,,
104,415360,832,0.010053561182399277,0.625,0.625,,,,,
105,419720,840,0.008466811862235983,0.875,0.875,0.015401801321478089,0.5,0.5,,
106,423632,848,0.012533026995577384,0.625,0.625,,,,,
107,427160,856,0.011958416948315537,0.875,0.875,,,,,
108,431264,864,0.012673171243340227,0.5,0.5,,,,,
109,435496,872,0.012266363325913188,0.75,0.75,,,,,
110,438448,880,0.011040641799689919,0.75,0.75,,,,,
111,442680,888,0.008901720728513984,0.875,0.875,,,,,
112,445952,896,0.012790545672815023,0.625,0.625,,,,,
113,449864,904,0.011457547226692266,0.875,0.875,0.010558217367760712,0.75,0.75,,
114,455824,912,0.00830965660877513,0.875,0.875,,,,,
115,459864,920,0.009769501415920048,0.75,0.75,,,,,
116,464096,928,0.014678972560556025,0.5,0.5,,,,,
117,469352,936,0.009797006402141671,0.875,0.875,,,,,
118,472624,944,0.013096479210363027,0.5,0.5,,,,,
119,475896,952,0.012663722169108918,0.875,0.875,,,,,
120,479360,960,0.011947891777839345,0.75,0.75,,,,,
121,483400,968,0.01167685125403971,0.75,0.75,0.010973211896947874,1.0,1.0,,
122,487120,976,0.011114767619760262,0.75,0.75,,,,,
123,491160,984,0.011467267777154629,0.75,0.75,,,,,
124,496416,992,0.011030616369741956,0.375,0.375,,,,,
125,498856,1000,0.01402369031716309,1.0,1.0,,,,,
126,503024,1008,0.013612027540188254,0.75,0.75,,,,,
127,506744,1016,0.01568849479524867,0.625,0.625,,,,,
128,509952,1024,0.011622874237139879,0.625,0.625,,,,,
129,514696,1032,0.010667642329281038,1.0,1.0,0.009725119143802209,0.875,0.875,,
130,519120,1040,0.012660816279417968,0.75,0.75,,,,,
131,524120,1048,0.009343731890790657,0.875,0.875,,,,,
132,527136,1056,0.01154118519093414,0.75,0.75,,,,,
133,531304,1064,0.008060279071245397,0.875,0.875,,,,,
134,535728,1072,0.013713467823731229,0.375,0.375,,,,,
135,540984,1080,0.01247528185324903,0.625,0.625,,,,,
136,545088,1088,0.012028070387146511,0.75,0.75,,,,,
137,548424,1096,0.011207490038391868,0.875,0.875,0.008068789671507592,0.875,0.875,,
138,551696,1104,0.011992192767537721,0.875,0.875,,,,,
139,555800,1112,0.00893819969058082,0.75,0.75,,,,,
140,559968,1120,0.011117998380190114,0.75,0.75,,,,,
141,562856,1128,0.014772083272525046,0.75,0.75,,,,,
142,566704,1136,0.009915873773031773,0.875,0.875,,,,,
143,570040,1144,0.009694169671222051,1.0,1.0,,,,,
144,573824,1152,0.010590621732235104,0.625,0.625,,,,,
145,577736,1160,0.010022279888203776,0.875,0.875,0.010741223126999965,0.875,0.875,,
146,580752,1168,0.010653263631019006,0.875,0.875,,,,,
147,585752,1176,0.009525953266190922,0.75,0.75,,,,,
148,589024,1184,0.007870951853084956,1.0,1.0,,,,,
149,592680,1192,0.009715933287927308,0.75,0.75,,,,,
150,596144,1200,0.010978472879453957,0.75,0.75,,,,,
151,601080,1208,0.009079147818529507,0.75,0.75,,,,,
152,605824,1216,0.008956635214899616,0.875,0.875,,,,,
153,609928,1224,0.008357165592037039,1.0,1.0,0.008497294990935747,0.875,0.875,,
154,615632,1232,0.007025384655503196,0.75,0.75,,,,,
155,619928,1240,0.011396409960678965,0.75,0.75,,,,,
156,624608,1248,0.01059650042505807,1.0,1.0,,,,,
157,629416,1256,0.009751864995733965,0.625,0.625,,,,,
158,632432,1264,0.009212599656838344,0.75,0.75,,,,,
159,636216,1272,0.009476585398455703,0.75,0.75,,,,,
160,639488,1280,0.013383027529100595,0.5,0.5,,,,,
161,643400,1288,0.013758933043515945,0.625,0.625,0.011717423711173566,0.75,0.75,,
162,647312,1296,0.008358397903578299,0.875,0.875,,,,,
163,650968,1304,0.012168229984723665,0.75,0.75,,,,,
164,656736,1312,0.007779258366497066,0.75,0.75,,,,,
165,660968,1320,0.0076725538557181035,0.75,0.75,,,,,
166,665584,1328,0.008237737098171823,0.625,0.625,,,,,
167,670072,1336,0.012296438694132727,0.5,0.5,,,,,
168,674496,1344,0.010615661311641737,0.75,0.75,,,,,
169,678472,1352,0.01195533360639848,0.875,0.875,0.009520665834249093,0.5,0.5,,
170,682192,1360,0.007467902590221804,0.75,0.75,,,,,
171,687384,1368,0.008977502750466763,0.375,0.375,,,,,
172,691488,1376,0.012220949979243424,0.625,0.625,,,,,
173,695464,1384,0.012683841388193083,0.75,0.75,,,,,
174,700400,1392,0.008780738735982183,0.875,0.875,,,,,
175,705144,1400,0.0066240085009720735,0.875,0.875,,,,,
176,708160,1408,0.008325128844971932,0.875,0.875,,,,,
177,712072,1416,0.010270151439922071,0.625,0.625,0.009702836398764776,0.625,0.625,,
178,715856,1424,0.012350489039150148,0.375,0.375,,,,,
179,719128,1432,0.012765979451248905,0.625,0.625,,,,,
180,725792,1440,0.0064608144191856225,0.875,0.875,,,,,
181,730728,1448,0.00759088393745539,0.75,0.75,,,,,
182,734192,1456,0.010397154849775313,0.5,0.5,,,,,
183,739064,1464,0.009454891546204313,0.75,0.75,,,,,
184,743040,1472,0.00970775598766006,0.75,0.75,,,,,
185,746824,1480,0.008099211492686147,0.625,0.625,0.011038887086563781,0.875,0.875,,
186,750352,1488,0.008523021682296994,0.875,0.875,,,,,
187,754648,1496,0.010512060395103363,0.625,0.625,,,,,
188,757856,1504,0.011182159364144453,0.75,0.75,,,,,
189,761192,1512,0.01282236784835823,0.875,0.875,,,,,
190,764656,1520,0.011325581237533777,0.75,0.75,,,,,
191,768120,1528,0.010411679561941571,0.875,0.875,,,,,
192,771712,1536,0.010303843930005118,1.0,1.0,,,,,
193,775688,1544,0.007884158461955403,0.875,0.875,0.01014109830302978,0.875,0.875,,
194,779792,1552,0.013041891047866102,0.75,0.75,,,,,
195,782744,1560,0.009889576032261333,0.75,0.75,,,,,
196,786976,1568,0.008856827181798463,0.875,0.875,,,,,
197,790376,1576,0.010488922119286172,0.75,0.75,,,,,
198,793904,1584,0.013685182795505164,0.5,0.5,,,,,
199,798328,1592,0.009197360086993876,0.5,0.5,,,,,
200,801600,1600,0.011501097288889603,0.875,0.875,,,,,
201,805128,1608,0.008869396484695488,0.75,0.75,0.00832119401071556,0.75,0.75,,
202,811280,1616,0.007198387342348849,0.875,0.875,,,,,
203,815256,1624,0.008487094113768492,0.75,0.75,,,,,
204,819552,1632,0.009892609634395992,1.0,1.0,,,,,
205,824872,1640,0.007590636291398028,0.75,0.75,,,,,
206,828208,1648,0.007612284564842628,0.875,0.875,,,,,
207,832120,1656,0.01068994059155304,0.75,0.75,,,,,
208,837376,1664,0.007148330903392119,0.75,0.75,,,,,
209,840648,1672,0.011138390529667646,0.625,0.625,0.012016904461947257,0.625,0.625,,
210,844496,1680,0.010123573751919697,0.75,0.75,,,,,
211,848920,1688,0.01211364591906229,0.5,0.5,,,,,
212,851808,1696,0.011441152014927767,0.625,0.625,,,,,
213,855400,1704,0.009253885114204318,0.875,0.875,,,,,
214,859824,1712,0.007446899364728651,0.625,0.625,,,,,
215,863224,1720,0.010674163497302328,0.625,0.625,,,,,
216,869440,1728,0.0075573375252991895,0.875,0.875,,,,,
217,872648,1736,0.015009105703842953,0.5,0.5,0.008152704215647507,0.625,0.625,,
218,878352,1744,0.006807499532291605,0.625,0.625,,,,,
219,884248,1752,0.007416055808557709,0.625,0.625,,,,,
220,889440,1760,0.010002348468394314,0.75,0.75,,,,,
221,892840,1768,0.00752127026228495,0.875,0.875,,,,,
222,895408,1776,0.008998512269913325,1.0,1.0,,,,,
223,900216,1784,0.010794681376731691,0.75,0.75,,,,,
224,903552,1792,0.011182967609552999,0.75,0.75,,,,,
225,908232,1800,0.009113946501929477,0.75,0.75,0.010598523695448666,0.875,0.875,,
226,912592,1808,0.008226323861475421,0.75,0.75,,,,,
227,916888,1816,0.010446991745545744,0.875,0.875,,,,,
228,920480,1824,0.010963639288340552,0.625,0.625,,,,,
229,924264,1832,0.009298274590368716,0.875,0.875,,,,,
230,929520,1840,0.01347835744043087,0.625,0.625,,,,,
231,934328,1848,0.009047055653180522,1.0,1.0,,,,,
232,939392,1856,0.007348037902531464,0.875,0.875,,,,,
233,943304,1864,0.0119034722551149,0.625,0.625,0.009842150114083565,0.75,0.75,,
234,948560,1872,0.00467169146344501,1.0,1.0,,,,,
235,951448,1880,0.010762189745601437,0.75,0.75,,,,,
236,955936,1888,0.0092630141324638,0.625,0.625,,,,,
237,958952,1896,0.010429579032440427,0.875,0.875,,,,,
238,964400,1904,0.009648286131488397,0.75,0.75,,,,,
239,967672,1912,0.008458871768870821,0.75,0.75,,,,,
240,971712,1920,0.008851540969266347,1.0,1.0,,,,,
241,975752,1928,0.008761249227836514,0.75,0.75,0.011491830157868137,0.625,0.625,,
242,979856,1936,0.00631159293935348,0.875,0.875,,,,,
243,983384,1944,0.011917901335730573,0.375,0.375,,,,,
244,987168,1952,0.007911189220028285,0.875,0.875,,,,,
245,991400,1960,0.007473910237889419,0.75,0.75,,,,,
246,995632,1968,0.008092711368505487,0.625,0.625,,,,,
247,999096,1976,0.008029065391411063,0.75,0.75,,,,,
248,1002432,1984,0.008766360408234959,0.75,0.75,,,,,
